threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model_id
5.6000000000000005,1818860668.638071,21798087,67.44368046543492,67.44368046543492,0.95,0.9499421331058704,0.9520904663162464,0.95,0.916,0.94824016563147,0.9828326180257512,0.916,0.984,0.9516441005802708,0.9213483146067416,0.984,13
5.7,1783614313.479532,21375678,68.074565293919,68.074565293919,0.952,0.9519444477816356,0.9540997572776518,0.952,0.918,0.9503105590062112,0.9849785407725322,0.918,0.986,0.95357833655706,0.9232209737827716,0.986,13
5.800000000000001,1748809195.9037104,20958557,68.6975522817486,68.6975522817486,0.95,0.9499421331058704,0.9520904663162464,0.95,0.916,0.94824016563147,0.9828326180257512,0.916,0.984,0.9516441005802708,0.9213483146067416,0.984,13
5.9,1714539938.342302,20547858,69.31094775432041,69.31094775432041,0.952,0.9519507976167596,0.9538590064905854,0.952,0.92,0.950413223140496,0.9829059829059827,0.92,0.984,0.9534883720930232,0.924812030075188,0.984,13
6.0,1680974675.0103552,20145596,69.91174222810213,69.91174222810213,0.949,0.9489300852867576,0.9514722621072996,0.949,0.912,0.9470404984423676,0.9848812095032398,0.912,0.986,0.9508196721311476,0.9180633147113594,0.986,13
6.1000000000000005,1647874847.237486,19748912,70.50420573456714,70.50420573456714,0.953,0.9529487612009478,0.9549819011614592,0.953,0.92,0.9513960703205792,0.9850107066381156,0.92,0.986,0.9545014520813164,0.924953095684803,0.986,13
6.2,1615379968.8736002,19359478,71.08584107447673,71.08584107447673,0.952,0.9519444477816356,0.9540997572776518,0.952,0.918,0.9503105590062112,0.9849785407725322,0.918,0.986,0.95357833655706,0.9232209737827716,0.986,13
6.300000000000001,1583528506.3569798,18977755,71.655959725792,71.655959725792,0.954,0.9539467624574008,0.9561090482390574,0.954,0.92,0.9523809523809524,0.9871244635193132,0.92,0.988,0.9555125725338492,0.9250936329588016,0.988,13
6.4,1552099590.5723724,18601096,72.21851508946082,72.21851508946082,0.956,0.9559603643278952,0.9576475311120032,0.956,0.926,0.954639175257732,0.9851063829787234,0.926,0.986,0.9572815533980582,0.930188679245283,0.986,13
6.5,1521390355.981211,18233062,72.76818866877923,72.76818866877923,0.954,0.9539585627064358,0.955640305098354,0.954,0.924,0.9525773195876288,0.9829787234042552,0.924,0.984,0.9553398058252428,0.9283018867924528,0.984,13
6.6000000000000005,1491231833.9554691,17871628,73.30800488268167,73.30800488268167,0.957,0.9569686301313656,0.9583365092610052,0.957,0.93,0.9558067831449126,0.9830866807610994,0.93,0.984,0.9581304771178188,0.9335863377609108,0.984,13
6.7,1461620853.725831,17516756,73.8380204856963,73.8380204856963,0.955,0.9549621231455652,0.9565357863854004,0.955,0.926,0.9536560247167868,0.9830148619957536,0.926,0.984,0.956268221574344,0.9300567107750471,0.984,13
6.800000000000001,1432597884.3217254,17168931,74.35751111081905,74.35751111081905,0.955,0.9549621231455652,0.9565357863854004,0.955,0.926,0.9536560247167868,0.9830148619957536,0.926,0.984,0.956268221574344,0.9300567107750471,0.984,13
6.9,1404034843.3510427,16826618,74.86876934227924,74.86876934227924,0.952,0.9519567610849764,0.953633079084705,0.952,0.922,0.9505154639175256,0.9808510638297872,0.922,0.982,0.9533980582524272,0.9264150943396228,0.982,13
7.0,1376167035.2735536,16492637,75.36758339667189,75.36758339667189,0.951,0.9509465808265202,0.9529731510459564,0.951,0.918,0.9493278179937952,0.9828693790149892,0.918,0.984,0.952565343659245,0.9230769230769232,0.984,13
7.1000000000000005,1348774175.06309,16164348,75.85789622016335,75.85789622016335,0.948,0.9479325205466284,0.9503345342254246,0.948,0.912,0.946058091286307,0.9827586206896552,0.912,0.984,0.9498069498069498,0.917910447761194,0.984,13
7.2,1321955641.305321,15842942,76.33792900635815,76.33792900635815,0.941,0.9408907069170898,0.9442859388033898,0.941,0.898,0.9383490073145244,0.9824945295404814,0.898,0.984,0.9434324065196548,0.9060773480662984,0.984,13
7.300000000000001,1295659199.7478292,15527793,76.80861671143056,76.80861671143056,0.947,0.9469192642008496,0.9497361950104436,0.947,0.908,0.9448491155046826,0.9848156182212582,0.908,0.986,0.9489894128970164,0.9146567717996288,0.986,13
7.4,1269847385.247907,15218452,77.2706299349369,77.2706299349369,0.951,0.95095875631406,0.9525222849666276,0.951,0.922,0.9495365602471678,0.978768577494692,0.922,0.98,0.9523809523809524,0.9262759924385632,0.98,13
7.5,1244529459.7896085,14915030,77.72380289391339,77.7238028939134,0.951,0.9509528657039414,0.9527403338432936,0.951,0.92,0.9494324045407636,0.9808102345415778,0.92,0.982,0.9524733268671192,0.9246704331450094,0.982,13
7.6,1219758241.714436,14618160,78.1671901774042,78.1671901774042,0.95,0.9499351159102196,0.9523449562532168,0.95,0.914,0.9481327800829876,0.9849137931034484,0.914,0.986,0.9517374517374516,0.9197761194029852,0.986,13
7.7,1195536150.8200252,14327871,78.60074847274312,78.6007484727431,0.953,0.9529423543841206,0.9552306300874284,0.953,0.918,0.9512953367875648,0.9870967741935484,0.918,0.988,0.9545893719806764,0.9233644859813084,0.988,13
7.800000000000001,1171884965.2850993,14044424,79.02408796593414,79.02408796593414,0.951,0.9509399013791896,0.9532207818309718,0.951,0.916,0.9492227979274612,0.9849462365591398,0.916,0.986,0.952657004830918,0.9214953271028036,0.986,13
7.9,1148611935.7117617,13765509,79.44065873487287,79.44065873487287,0.937,0.9368483729434371,0.9412376463555991,0.937,0.888,0.9337539432176656,0.984478935698448,0.888,0.986,0.9399428026692088,0.8979963570127505,0.986,13
8.0,1125890536.5581193,13493205,79.84735570945325,79.84735570945325,0.927,0.9267620499001256,0.9326223601930692,0.927,0.87,0.9225874867444328,0.981941309255079,0.87,0.984,0.9309366130558184,0.8833034111310593,0.984,13
8.1,1103660940.4136562,13226795,80.24524975800915,80.24524975800915,0.926,0.9257144463316992,0.9326524642909374,0.926,0.864,0.9211087420042644,0.9863013698630136,0.864,0.988,0.9303201506591338,0.8790035587188612,0.988,13
8.200000000000001,1081958609.8299336,12966704,80.63370612594936,80.63370612594936,0.896,0.8950728638247556,0.9105090311986864,0.896,0.802,0.8852097130242825,0.9876847290640394,0.802,0.99,0.9049360146252284,0.8333333333333334,0.99,13
